Datum,PV(kWh),sin_month_x,cos_month_x,sin_dayofyear_x,cos_dayofyear_x,year_x,datetime,humidity,dew,windspeed,precip,solarradiation,tempmin,precipcover,uvindex,temp,tempmax,pressure,windgust,winddir,feelslikemin,snowdepth,cloudcover,feelslike,snow,solarenergy,feelslikemax,preciptype,visibility,sin_month_y,cos_month_y,sin_dayofyear_y,cos_dayofyear_y,year_y,sunset_seconds,sunrise_seconds,sunset_sin,sunset_cos,sunrise_sin,sunrise_cos,day_length_seconds,day_length_hours
2025-07-02,53.0,-0.4999999999999997,-0.8660254037844388,-0.008606996888688009,-0.9999629591162655,2025,2025-07-02,45.7,8.6,10.5,0.0,0.0,12.5,0.0,0.0,21.7,29.7,1018.6,19.4,273.9,12.5,0.0,0.0,21.4,0.0,0.0,28.4,['none'],46.4,-0.4999999999999997,-0.8660254037844388,-0.008606996888688009,-0.9999629591162655,2025,75460,17196,-0.7142691255919905,0.6998711425870145,0.9491511060531284,0.3148208663321462,58264,16.184444444444445
2025-07-03,48.1,-0.4999999999999997,-0.8660254037844388,-0.02581844022713239,-0.9996666485105112,2025,2025-07-03,50.4,12.1,31.5,0.0,221.7,15.1,0.0,9.0,23.8,31.7,1017.4,53.6,281.9,15.1,0.0,41.0,23.5,0.0,19.2,30.7,['none'],37.2,-0.4999999999999997,-0.8660254037844388,-0.02581844022713239,-0.9996666485105112,2025,75439,17238,-0.7153371096383465,0.6987795214330885,0.9501082429071183,0.3119203852907796,58201,16.166944444444443
2025-07-04,37.1,-0.4999999999999997,-0.8660254037844388,-0.04302223300453034,-0.99907411510223,2025,2025-07-04,71.3,12.3,19.7,0.236,253.2,14.7,25.0,8.0,17.8,21.2,1023.0,50.4,27.8,14.7,0.0,73.7,17.8,0.0,22.0,21.2,['rain'],30.5,-0.4999999999999997,-0.8660254037844388,-0.04302223300453034,-0.99907411510223,2025,75415,17282,-0.716555619838166,0.6975299589826531,0.9511014509356468,0.3088786655437818,58133,16.148055555555555
2025-07-05,53.0,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,2025,2025-07-05,53.8,7.5,12.5,0.0,339.2,10.1,0.0,9.0,18.2,25.4,1019.3,43.2,293.2,10.1,0.0,30.2,18.2,0.0,29.5,25.4,['none'],43.1,-0.4999999999999997,-0.8660254037844388,-0.060213277365792774,-0.9981855344718586,2025,75388,17328,-0.7179238345567864,0.6961216616190591,0.9521293927421387,0.3056953049631057,58060,16.127777777777776
2025-07-06,44.3,-0.4999999999999997,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,2025,2025-07-06,49.2,10.3,20.9,3.67,262.6,14.1,8.33,8.0,22.3,29.3,1009.8,72.3,224.3,14.1,0.0,65.2,22.0,0.0,22.7,28.1,['rain'],37.4,-0.4999999999999997,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,2025,75358,17376,-0.719440826694351,0.6945537393789978,0.953190667792947,0.30236989075044457,57982,16.10611111111111
2025-07-07,11.4,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,2025,2025-07-07,90.9,15.0,20.1,6.285,89.1,14.4,75.0,3.0,16.5,17.3,1004.7,73.3,244.0,14.4,0.0,84.1,16.5,0.0,7.6,17.3,['rain'],16.2,-0.4999999999999997,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,2025,75326,17427,-0.7210551771435603,0.6928776454140146,0.954305546386806,0.29883260219624586,57899,16.083055555555557
2025-07-08,5.9,-0.4999999999999997,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,2025,2025-07-08,92.6,12.9,20.6,5.723,79.6,12.2,70.83,4.0,14.1,15.6,1006.4,52.7,312.6,12.2,0.1,89.3,14.1,0.0,7.0,15.6,['rain'],16.2,-0.4999999999999997,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,2025,75291,17479,-0.7228164015452039,0.6910401215973226,0.955428769815862,0.295221723130512,57812,16.058888888888887
2025-07-09,15.0,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,2025,2025-07-09,80.3,10.3,20.7,21.707,115.7,11.8,66.67,4.0,13.7,16.3,1012.2,62.6,331.4,11.8,0.0,95.7,13.7,0.0,9.9,16.3,['rain'],25.0,-0.4999999999999997,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,2025,75253,17533,-0.7247232857096971,0.6890400272481567,0.9565807328850682,0.2914674964263868,57720,16.033333333333335
2025-07-10,24.6,-0.4999999999999997,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,2025,2025-07-10,77.2,10.1,19.6,9.261,215.7,12.6,45.83,10.0,14.2,17.5,1015.2,54.0,324.2,12.6,0.1,90.8,14.2,0.0,18.7,17.5,['rain'],30.5,-0.4999999999999997,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,2025,75212,17589,-0.7267745058834696,0.6868761297336213,0.9577597797111813,0.28756947746169,57623,16.00638888888889
2025-07-11,42.0,-0.4999999999999997,-0.8660254037844388,-0.16280701293851646,-0.9866579328916572,2025,2025-07-11,70.7,9.1,13.8,1.33,312.8,9.8,33.33,10.0,14.8,20.4,1014.4,39.6,322.9,8.6,0.0,71.6,14.8,0.0,27.2,20.4,['rain'],36.1,-0.4999999999999997,-0.8660254037844388,-0.16280701293851646,-0.9866579328916572,2025,75169,17647,-0.7289188438235333,0.6846001162130806,0.9589641898804252,0.28352721655421337,57522,15.978333333333333
2025-07-12,33.5,-0.4999999999999997,-0.8660254037844388,-0.17976658572556214,-0.9837092937736098,2025,2025-07-12,78.0,11.1,22.1,3.232,194.3,12.1,25.0,7.0,15.1,19.5,1012.9,45.0,214.0,12.1,0.0,90.5,15.1,0.0,16.7,19.5,['rain'],35.1,-0.4999999999999997,-0.8660254037844388,-0.17976658572556214,-0.9837092937736098,2025,75123,17706,-0.731204895254469,0.6821579004569991,0.9601718614330202,0.27941008663297906,57417,15.949166666666667
2025-07-13,42.7,-0.4999999999999997,-0.8660254037844388,-0.19667288979357622,-0.9804691603616321,2025,2025-07-13,68.0,12.6,17.9,3.711,277.3,13.8,29.17,9.0,19.2,25.3,1012.4,57.6,268.3,13.8,0.0,75.4,19.2,0.0,24.0,25.3,['rain'],37.0,-0.4999999999999997,-0.8660254037844388,-0.19667288979357622,-0.9804691603616321,2025,75075,17768,-0.7335816159446584,0.6796013631151894,0.9614218925664842,0.27507806981633337,57307,15.918611111111112
