Datum,Elektrárna,Klasifikace,Kapacita(kW),PV(kWh),Prodej(kWh),Koupit(kWh),Spotřeba(kWh),Spotřebováno v domácnosti(kWh),Vlastní poměr(%),Contribution Ratio(%),Příjem(CZK),Month,Year
2025-01-19,HFVE Zapletal Simon,Úložiště baterie,7.6,6.1,4.67,3.6,9.03,5.43,53.76,60.13,30.5,1,2025
2025-01-20,HFVE Zapletal Simon,Úložiště baterie,7.6,12.6,1.67,0.9,13.43,12.53,88.24,93.3,63,1,2025
2025-01-21,HFVE Zapletal Simon,Úložiště baterie,7.6,4.2,0.12,0.02,7.2,7.18,98.36,99.72,21,1,2025
2025-01-22,HFVE Zapletal Simon,Úložiště baterie,7.6,7.7,0.19,0.05,7.46,7.41,97.5,99.33,38.5,1,2025
2025-01-23,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.11,3.14,10.43,7.29,98.51,69.89,11,1,2025
2025-01-24,HFVE Zapletal Simon,Úložiště baterie,7.6,10.9,0.1,4.38,9.98,5.6,98.25,56.11,54.5,1,2025
2025-01-25,HFVE Zapletal Simon,Úložiště baterie,7.6,9.6,0.22,0.07,12.75,12.68,98.29,99.45,48,1,2025
2025-01-26,HFVE Zapletal Simon,Úložiště baterie,7.6,6.5,0.15,0.23,7.98,7.75,98.1,97.12,32.5,1,2025
2025-01-27,HFVE Zapletal Simon,Úložiště baterie,7.6,16.2,0.21,1.04,9.43,8.39,97.56,88.97,81,1,2025
2025-01-28,HFVE Zapletal Simon,Úložiště baterie,7.6,6.8,0.14,0.03,8.99,8.96,98.46,99.67,34,1,2025
2025-01-29,HFVE Zapletal Simon,Úložiště baterie,7.6,13.2,1.33,0.02,6.69,6.67,83.38,99.7,66,1,2025
2025-01-30,HFVE Zapletal Simon,Úložiště baterie,7.6,20.6,11.42,0.02,8.2,8.18,41.73,99.76,103,1,2025
2025-01-31,HFVE Zapletal Simon,Úložiště baterie,7.6,3.4,0.1,0.01,8.11,8.1,98.78,99.88,17,1,2025
2024-02-01,HFVE Zapletal Simon,Úložiště baterie,7.6,0.9,0.06,11.13,17.47,6.34,99.06,36.29,4.5,2,2024
2024-02-02,HFVE Zapletal Simon,Úložiště baterie,7.6,9,4.68,6.86,13.88,7.02,60,50.58,45,2,2024
2024-02-03,HFVE Zapletal Simon,Úložiště baterie,7.6,1.9,0.14,3.5,11.96,8.46,98.37,70.74,9.5,2,2024
2024-02-04,HFVE Zapletal Simon,Úložiště baterie,7.6,2.1,0.1,8.15,17.05,8.9,98.89,52.2,10.5,2,2024
2024-02-05,HFVE Zapletal Simon,Úložiště baterie,7.6,1.1,0.08,8.43,15.15,6.72,98.82,44.36,5.5,2,2024
2024-02-06,HFVE Zapletal Simon,Úložiště baterie,7.6,5.3,0.18,7.02,18.04,11.02,98.39,61.09,26.5,2,2024
2024-02-07,HFVE Zapletal Simon,Úložiště baterie,7.6,1.5,0.09,6.75,15.66,8.91,99,56.9,7.5,2,2024
2024-02-08,HFVE Zapletal Simon,Úložiště baterie,7.6,2.6,0.1,9.21,15.91,6.7,98.53,42.11,13,2,2024
2024-02-09,HFVE Zapletal Simon,Úložiště baterie,7.6,8.5,0.18,5.23,20.65,15.42,98.85,74.67,42.5,2,2024
2024-02-10,HFVE Zapletal Simon,Úložiště baterie,7.6,16.8,13.8,8.3,13.8,5.5,28.5,39.86,84,2,2024
2024-02-11,HFVE Zapletal Simon,Úložiště baterie,7.6,2.2,0.1,0.04,7.34,7.3,98.65,99.46,11,2,2024
2024-02-12,HFVE Zapletal Simon,Úložiště baterie,7.6,6.2,0.16,0.06,6.4,6.34,97.54,99.06,31,2,2024
2024-02-13,HFVE Zapletal Simon,Úložiště baterie,7.6,7.6,0.12,0.04,8.12,8.08,98.54,99.51,38,2,2024
2024-02-14,HFVE Zapletal Simon,Úložiště baterie,7.6,16.6,4.01,0.01,5.6,5.59,58.23,99.82,83,2,2024
2024-02-15,HFVE Zapletal Simon,Úložiště baterie,7.6,6.3,0.16,0.04,11.28,11.24,98.6,99.65,31.5,2,2024
2024-02-16,HFVE Zapletal Simon,Úložiště baterie,7.6,25.4,10.11,0.06,9.65,9.59,48.68,99.38,127,2,2024
2024-02-17,HFVE Zapletal Simon,Úložiště baterie,7.6,2,0.14,1.66,14.72,13.06,98.94,88.72,10,2,2024
2024-02-18,HFVE Zapletal Simon,Úložiště baterie,7.6,22.7,1.06,1.65,11.99,10.34,90.7,86.24,113.5,2,2024
2024-02-19,HFVE Zapletal Simon,Úložiště baterie,7.6,2.9,0.1,0.02,5.92,5.9,98.33,99.66,14.5,2,2024
2024-02-20,HFVE Zapletal Simon,Úložiště baterie,7.6,2.4,0.11,0.04,5.03,4.99,97.84,99.2,12,2,2024
2024-02-21,HFVE Zapletal Simon,Úložiště baterie,7.6,9.4,0.15,0.02,5.57,5.55,97.37,99.64,47,2,2024
2024-02-22,HFVE Zapletal Simon,Úložiště baterie,7.6,6.8,0.15,0.09,9.54,9.45,98.44,99.06,34,2,2024
2024-02-23,HFVE Zapletal Simon,Úložiště baterie,7.6,1.8,0.1,0.1,7.3,7.2,98.63,98.63,9,2,2024
2024-02-24,HFVE Zapletal Simon,Úložiště baterie,7.6,12.6,0.11,6.37,11.16,4.79,97.76,42.92,63,2,2024
2024-02-25,HFVE Zapletal Simon,Úložiště baterie,7.6,21.7,10.88,0.02,6.94,6.92,38.88,99.71,108.5,2,2024
2024-02-26,HFVE Zapletal Simon,Úložiště baterie,7.6,18.9,14.24,0.04,4.4,4.36,23.44,99.09,94.5,2,2024
2024-02-27,HFVE Zapletal Simon,Úložiště baterie,7.6,22.4,12.76,0.01,9.65,9.64,43.04,99.9,112,2,2024
2024-02-28,HFVE Zapletal Simon,Úložiště baterie,7.6,9.4,3.93,0.01,5.08,5.07,56.33,99.8,47,2,2024
2024-02-29,HFVE Zapletal Simon,Úložiště baterie,7.6,11.8,5.7,0.03,6.13,6.1,51.69,99.51,59,2,2024
2025-02-01,HFVE Zapletal Simon,Úložiště baterie,7.6,14.9,0.19,0.05,11.46,11.41,98.36,99.56,74.5,2,2025
2025-02-02,HFVE Zapletal Simon,Úložiště baterie,7.6,4.4,0.24,0.16,13.02,12.86,98.17,98.77,22,2,2025
2025-02-03,HFVE Zapletal Simon,Úložiště baterie,7.6,13.9,0.13,1.8,7.67,5.87,97.83,76.53,69.5,2,2025
2025-02-04,HFVE Zapletal Simon,Úložiště baterie,7.6,23.3,10.62,0.02,8.9,8.88,45.54,99.78,116.5,2,2025
2025-02-05,HFVE Zapletal Simon,Úložiště baterie,7.6,22.9,12.74,0.03,9.39,9.36,42.35,99.68,114.5,2,2025
2025-02-06,HFVE Zapletal Simon,Úložiště baterie,7.6,3.8,0.11,0.05,11.64,11.59,99.06,99.57,19,2,2025
2025-02-07,HFVE Zapletal Simon,Úložiště baterie,7.6,3.3,0.14,0.51,6.67,6.16,97.78,92.35,16.5,2,2025
2025-02-08,HFVE Zapletal Simon,Úložiště baterie,7.6,16.4,0.27,4.2,20.13,15.93,98.33,79.14,82,2,2025
2025-02-09,HFVE Zapletal Simon,Úložiště baterie,7.6,3.7,0.09,3.6,8.01,4.41,98,55.06,18.5,2,2025
2025-02-10,HFVE Zapletal Simon,Úložiště baterie,7.6,21,2.24,2.99,9.85,6.86,75.38,69.64,105,2,2025
2025-02-11,HFVE Zapletal Simon,Úložiště baterie,7.6,20.7,13.12,0.02,7.5,7.48,36.31,99.73,103.5,2,2025
2025-02-12,HFVE Zapletal Simon,Úložiště baterie,7.6,3.5,0.1,0.02,7.42,7.4,98.67,99.73,17.5,2,2025
2025-02-13,HFVE Zapletal Simon,Úložiště baterie,7.6,2.7,0.15,0.01,6.96,6.95,97.89,99.86,13.5,2,2025
2025-02-14,HFVE Zapletal Simon,Úložiště baterie,7.6,0.7,0.02,8.48,11.26,2.78,99.29,24.69,3.5,2,2025
2025-02-15,HFVE Zapletal Simon,Úložiště baterie,7.6,1.7,0.04,5.64,7.6,1.96,98,25.79,8.5,2,2025
2025-02-16,HFVE Zapletal Simon,Úložiště baterie,7.6,18.6,0.57,5.34,17.57,12.23,95.55,69.61,93,2,2025
2025-02-17,HFVE Zapletal Simon,Úložiště baterie,7.6,25.2,13.11,0.01,6.5,6.49,33.11,99.85,126,2,2025
2025-02-18,HFVE Zapletal Simon,Úložiště baterie,7.6,20.9,13.1,0.02,7.82,7.8,37.32,99.74,104.5,2,2025
2025-02-19,HFVE Zapletal Simon,Úložiště baterie,7.6,30.1,21.34,0.02,7.38,7.36,25.64,99.73,150.5,2,2025
2025-02-20,HFVE Zapletal Simon,Úložiště baterie,7.6,29.4,19.99,0.03,8.54,8.51,29.86,99.65,147,2,2025
2025-02-21,HFVE Zapletal Simon,Úložiště baterie,7.6,26.2,9.65,0.04,15.69,15.65,61.86,99.75,131,2,2025
2025-02-22,HFVE Zapletal Simon,Úložiště baterie,7.6,29.4,16.51,0.06,11.45,11.39,40.82,99.48,147,2,2025
2025-02-23,HFVE Zapletal Simon,Úložiště baterie,7.6,6.5,0.14,0.05,9.51,9.46,98.54,99.47,32.5,2,2025
2025-02-24,HFVE Zapletal Simon,Úložiště baterie,7.6,12.2,3.37,0.02,6.75,6.73,66.63,99.7,61,2,2025
2025-02-25,HFVE Zapletal Simon,Úložiště baterie,7.6,18.9,10.31,0.03,7.02,6.99,40.4,99.57,94.5,2,2025
2025-02-26,HFVE Zapletal Simon,Úložiště baterie,7.6,1.6,0.09,0.02,5.93,5.91,98.5,99.66,8,2,2025
2025-02-27,HFVE Zapletal Simon,Úložiště baterie,7.6,5.4,0.12,0.01,6.39,6.38,98.15,99.84,27,2,2025
2025-02-28,HFVE Zapletal Simon,Úložiště baterie,7.6,17.6,4.23,0.05,7.72,7.67,64.45,99.35,88,2,2025
2024-03-01,HFVE Zapletal Simon,Úložiště baterie,7.6,8.2,3.78,0.01,4.63,4.62,55,99.78,41,3,2024
