datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,windspeedmax,windspeedmean,sunrise,sunset,normal.tempmax,normal.tempmin,normal.feelslike,normal.precip,normal.humidity,normal.snowdepth,normal.windspeed,normal.windgust,normal.winddir,normal.cloudcover
2023-09-21,22.3,13.2,18.0,22.3,13.2,18.0,12.2,70.4,0.0,0.0,,0.0,0.0,64.8,33.7,157.5,1008.9,33.2,37.1,185.8,16.1,7.0,33.7,22.2,06:32:25,18:49:23,"[7.3, 15.9, 26.9]","[2.2, 7.5, 13.8]","[-0.1, 15.9, 26.5]","[0.0, 2.1, 18.2]","[53.7, 79.3, 94.5]","[0.0, 0.0, 0.0]","[13.0, 22.3, 36.4]","[39.6, 58.0, 90.0]","[29.1, 191.2, 289.0]","[0.3, 55.8, 100.0]"
2023-09-22,23.5,16.1,18.9,23.5,16.1,18.9,14.2,74.5,1.514,12.5,['rain'],0.0,0.0,86.4,27.7,185.1,1004.9,73.4,27.6,175.6,15.2,8.0,27.7,21.1,06:33:53,18:47:13,"[9.2, 16.2, 27.8]","[2.5, 6.8, 11.3]","[-1.5, 16.2, 26.7]","[0.0, 2.7, 17.8]","[48.9, 78.5, 92.8]","[0.0, 0.0, 0.0]","[10.4, 22.7, 43.2]","[39.6, 60.5, 104.4]","[86.1, 210.5, 264.7]","[0.0, 52.4, 99.3]"
2023-09-23,16.5,12.6,14.1,16.5,12.6,14.1,12.2,88.4,5.709,62.5,['rain'],0.0,0.0,68.4,14.2,335.7,1013.6,96.4,21.0,44.7,4.0,2.0,14.2,9.7,06:35:22,18:45:02,"[9.3, 16.1, 26.1]","[2.6, 7.1, 11.6]","[-0.3, 16.1, 26.1]","[0.0, 2.5, 26.3]","[53.4, 78.9, 96.6]","[0.0, 0.0, 0.0]","[7.9, 22.7, 49.7]","[39.6, 60.5, 94.3]","[40.0, 214.0, 311.8]","[2.7, 60.0, 98.1]"
2023-09-24,13.7,10.4,12.2,13.7,10.4,12.2,8.7,79.5,0.341,25.0,['rain'],0.0,0.0,68.4,24.8,21.7,1023.9,95.0,29.3,68.6,6.0,4.0,24.8,18.5,06:36:50,18:42:52,"[6.1, 15.5, 22.5]","[1.2, 7.4, 13.8]","[-2.5, 15.5, 22.5]","[0.0, 2.7, 21.3]","[66.3, 80.5, 95.7]","[0.0, 0.0, 0.0]","[9.4, 21.6, 42.5]","[39.6, 63.4, 97.2]","[30.3, 174.8, 277.6]","[5.2, 61.3, 100.0]"
2023-09-25,19.1,12.3,15.3,19.1,12.3,15.3,12.5,83.5,0.0,0.0,,0.0,0.0,53.0,21.7,50.1,1025.6,72.6,24.7,141.8,12.2,6.0,21.7,14.4,06:38:19,18:40:42,"[7.1, 15.3, 22.7]","[3.1, 7.7, 11.8]","[-0.5, 15.3, 22.7]","[0.0, 2.0, 25.1]","[69.1, 80.9, 96.7]","[0.0, 0.0, 0.0]","[12.6, 22.3, 43.2]","[39.6, 61.9, 86.4]","[32.1, 164.0, 295.0]","[10.7, 64.7, 100.0]"
2023-09-26,24.0,14.2,17.8,24.0,14.2,17.8,14.1,80.4,0.0,0.0,,0.0,0.0,39.6,13.4,140.7,1024.3,50.1,20.8,179.4,15.5,6.0,13.4,8.5,06:39:47,18:38:32,"[10.1, 15.5, 23.2]","[0.6, 6.9, 9.7]","[-3.5, 15.5, 23.2]","[0.0, 4.6, 31.4]","[67.0, 84.2, 95.6]","[0.0, 0.0, 0.0]","[9.0, 20.5, 46.4]","[39.6, 59.0, 115.2]","[26.2, 171.1, 259.2]","[4.4, 60.1, 99.5]"
2023-09-27,24.8,11.2,17.4,24.8,11.2,17.4,10.3,66.2,0.0,0.0,,0.0,0.0,50.4,12.5,176.8,1023.5,7.5,31.1,181.5,15.6,6.0,12.5,9.0,06:41:16,18:36:22,"[8.3, 15.0, 21.8]","[2.9, 7.4, 11.9]","[-0.7, 15.0, 21.8]","[0.0, 2.2, 17.4]","[63.9, 83.0, 93.5]","[0.0, 0.0, 0.0]","[10.8, 22.0, 45.7]","[43.2, 61.6, 136.8]","[58.9, 190.6, 263.8]","[5.8, 65.1, 100.0]"
2023-09-28,26.0,11.0,17.1,26.0,11.0,17.1,9.7,64.6,0.0,0.0,,0.0,0.0,54.0,24.6,210.6,1021.7,9.3,28.5,178.6,15.4,6.0,24.6,13.1,06:42:45,18:34:13,"[7.1, 15.3, 21.6]","[1.1, 7.1, 11.9]","[-2.5, 15.3, 21.6]","[0.0, 1.4, 12.0]","[67.3, 81.1, 94.8]","[0.0, 0.0, 0.0]","[13.3, 23.0, 42.5]","[43.2, 61.2, 104.4]","[36.6, 178.5, 236.7]","[11.4, 63.1, 100.0]"
2023-09-29,23.4,10.7,16.8,23.4,10.7,16.8,9.3,63.8,0.0,0.0,,0.0,0.0,46.8,19.8,198.7,1021.6,18.6,30.7,171.5,15.0,6.0,19.8,13.1,06:44:15,18:32:04,"[8.6, 14.7, 21.0]","[1.3, 7.2, 13.5]","[-2.2, 14.7, 21.0]","[0.0, 2.7, 13.4]","[62.8, 80.8, 94.6]","[0.0, 0.0, 0.0]","[9.7, 23.4, 41.4]","[39.6, 60.5, 104.4]","[39.3, 188.7, 271.6]","[16.7, 63.8, 99.2]"
2023-09-30,14.5,8.2,13.0,14.5,6.1,12.7,10.3,84.3,4.092,50.0,['rain'],0.0,0.0,54.0,13.9,327.3,1023.0,72.3,20.2,19.7,1.7,1.0,13.9,10.7,06:45:44,18:29:55,"[5.0, 14.2, 22.1]","[0.2, 6.3, 12.7]","[-3.4, 14.2, 22.1]","[0.0, 2.5, 18.8]","[64.9, 80.3, 95.0]","[0.0, 0.0, 0.0]","[12.6, 20.5, 42.5]","[32.4, 59.0, 76.3]","[47.5, 194.5, 338.2]","[9.0, 60.6, 99.5]"
